ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-01-24 17:31:50:774
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z
0.756,11111100,2,0,0,124,0,0,0,122.22,190.87,165.15,79.87,48.47,50.76,42.98,43.6,8.73,-23.88,120,45,207,123,0,0,103.65,186.27,184.12,101.77,5.19,5.96,127.95,216.36,184.73,102.09,3.9,7.7,597.21,437.8,0,0,2.344,131.587,-10.28,13.875,-3.74,-3.47,-2.76,2.8,0.95,1.08,0.994,0.991,-0.055,-0.096,0.095,0.094
0.8,11111100,7,0,0,132,0,0,0,122.22,190.92,165.15,79.22,48.47,51.19,42.98,42.83,8.73,-22.36,120,38,207,123,0,0,103.65,186.09,184.12,101.26,5.19,5.96,127.95,216.3,184.73,101.65,3.9,7.71,597.19,436.76,0,0,2.335,132.17,-10.243,13.659,-3.74,-3.47,-2.76,2.8,0.95,1.08,0.994,0.991,-0.055,-0.095,0.093,0.092
0.817,11111100,2,0,0,135,0,0,0,122.05,190.84,165.61,79.28,49.43,51.3,41.9,42.9,7.12,-21.31,133,47,207,122,0,0,103.5,186.09,184.23,101.26,4.99,5.96,127.8,216.21,184.78,101.6,4.16,7.62,596.98,436.12,0,0,2.327,132.594,-10.318,14.153,-3.74,-3.47,-2.76,2.81,0.95,1.08,0.994,0.991,-0.055,-0.096,0.096,0.095
0.822,11111100,0,0,0,136,0,0,0,122.05,190.9,165.61,79.32,49.43,51.28,41.9,43.36,7.12,-20.67,133,37,207,122,0,0,103.5,186.14,184.23,101.15,4.99,6.1,127.8,216.28,184.78,101.58,4.16,7.7,596.93,435.56,0,0,2.319,133.077,-10.303,14.292,-3.74,-3.47,-2.76,2.81,0.95,1.08,0.994,0.991,-0.055,-0.095,0.097,0.096
0.861,11111100,6,0,0,143,0,0,0,122.53,190.9,165.8,79.32,49.38,51.28,42.74,43.36,6.36,-20.67,120,37,196,122,0,0,103.5,186.14,184.5,101.15,4.74,6.1,127.85,216.28,185,101.58,4.1,7.7,597.06,435.34,0,0,2.325,132.704,-9.952,14.408,-3.74,-3.47,-2.76,2.81,0.95,1.08,0.994,0.991,-0.052,-0.093,0.098,0.097
0.9,11111100,6,0,0,150,0,0,0,122.45,190.95,166.29,79.51,49.15,51.3,44.61,43.24,10.38,-19.71,120,37,207,122,0,0,103.33,186.28,184.73,101.34,5.29,5.82,128,216.36,185,101.54,3.82,7.66,597.29,435.88,0,0,2.33,132.328,-9.893,14.939,-3.74,-3.47,-2.76,2.81,0.95,1.08,0.993,0.991,-0.052,-0.093,0.102,0.101
0.939,11111100,6,0,0,157,0,0,0,122.38,191.52,165.96,81.1,49.04,52.12,43.88,45.48,7.4,-14.02,135,38,207,117,0,0,103.32,186.3,184.64,101.37,5.17,5.19,128,216.39,185,101.6,3.82,7.11,597.87,437.66,0,0,2.324,132.624,-9.529,15.99,-3.73,-3.47,-2.76,2.81,0.95,1.08,0.993,0.99,-0.049,-0.09,0.109,0.108
0.961,11111100,3,0,0,161,0,0,0,121.91,191.61,166.55,80.89,49.31,52,44.36,44.64,11.78,-15.41,120,38,207,129,0,0,103.23,186.4,184.9,101.61,5.09,5.7,127.5,216.39,185,101.6,3.45,7.11,598.3,439.77,0,0,2.307,133.633,-9.739,16.207,-3.73,-3.47,-2.76,2.81,0.95,1.08,0.993,0.99,-0.05,-0.091,0.11,0.109
0.972,11111100,1,0,0,163,0,0,0,121.66,191.61,166.4,80.89,49.12,52,46.36,44.64,16.22,-15.41,120,38,208,129,0,0,103,186.4,185,101.61,4.41,5.7,127.5,216.39,185,101.6,3.45,7.11,598.68,441.27,0,0,2.285,134.918,-9.941,16.116,-3.73,-3.47,-2.76,2.81,0.95,1.08,0.993,0.99,-0.051,-0.091,0.109,0.108
1.05,11111100,13,0,0,177,0,0,0,121.66,187.97,166.4,79.52,49.12,52.92,46.36,44.59,16.22,-13,120,36,208,117,0,0,103,184.27,185,100.11,4.41,5.77,127.5,214.39,185,100.73,3.45,8.17,597.52,443.16,0,0,2.352,130.713,-11.76,16.138,-3.73,-3.47,-2.76,2.81,0.95,1.08,0.991,0.988,-0.066,-0.107,0.112,0.111
